publisher_name,match_type,keyword_group,current_spend,proposed,delta_spend,roas,expected_revenue_current,expected_revenue_proposed,delta_revenue
Google - US,Broad,Athens,2267.8624943375003,2267.862494337501,9.094947017729282e-13,0.3185819254050764,722.5,722.5000000000003,3.410605131648481e-13
Yahoo - US,Advanced,International New York,920.4999984125,920.4999984125003,3.410605131648481e-13,0.8864747435168698,816.0,816.0000000000003,3.410605131648481e-13
Google - US,Broad,International Detroit,92.849999975,92.84999997500003,2.842170943040401e-14,9.950996233158588,923.9499999999999,923.9500000000003,3.410605131648481e-13
Google - US,Broad,San Francisco to Italy Sale,163.73749985,163.73749985000006,5.684341886080802e-14,5.191235976967313,850.0000000000001,850.0000000000003,2.2737367544323206e-13
Google - Global,Broad,Tour de France,3343.1374997,3343.1374997000007,9.094947017729282e-13,0.32849381758858204,1098.2,1098.2000000000003,2.2737367544323206e-13
Google - US,Broad,Marseille,575.7624977500001,575.7624977500003,2.2737367544323206e-13,1.1662795034829965,671.5,671.5000000000002,2.2737367544323206e-13
MSN - US,Broad,France,1272.824998775,1272.8249987750005,4.547473508864641e-13,0.4026869369263579,512.55,512.5500000000002,2.2737367544323206e-13
Yahoo - US,Standard,Nice,353.36249948750003,353.36249948750014,1.1368683772161603e-13,3.1703986745193085,1120.3,1120.3000000000002,2.2737367544323206e-13
Google - US,Broad,Google|Italy,5337.5624917375,5337.562491737502,1.8189894035458565e-12,0.19587592681461338,1045.5,1045.5000000000002,2.2737367544323206e-13
MSN - US,Broad,Paris,2790.6749951875,2790.674995187501,9.094947017729282e-13,0.2253934983775274,629.0,629.0000000000002,2.2737367544323206e-13
Yahoo - US,Advanced,Cheap International New York,581.8374995500001,581.8374995500002,1.1368683772161603e-13,1.4345929931390926,834.7,834.7000000000003,2.2737367544323206e-13
Google - US,Broad,Google|Spain,12894.0749682625,12894.074968262501,1.8189894035458565e-12,0.09888262656594501,1275.0,1275.0000000000002,2.2737367544323206e-13
Google - US,Broad,Los Angeles to France Sale,194.137499775,194.13749977500007,5.684341886080802e-14,2.49127551637647,483.65,483.6500000000001,1.1368683772161603e-13
Yahoo - US,Advanced,Europe,746.1999985625,746.1999985625002,2.2737367544323206e-13,0.6925757183001575,516.8,516.8000000000001,1.1368683772161603e-13
Google - US,Broad,Google|Flights Relaunch,14117.9999775625,14117.999977562502,1.8189894035458565e-12,0.06171199896477284,871.25,871.2500000000001,1.1368683772161603e-13
Google - US,Broad,New York to Florence Sale,53.2624999375,53.26249993750002,1.4210854715202004e-14,9.208167107730775,490.45,490.4500000000001,1.1368683772161603e-13
Yahoo - US,Advanced,International Atlanta,136.9749998125,136.97499981250004,5.684341886080802e-14,1.2411023926461524,170.0,170.00000000000009,8.526512829121202e-14
Google - US,Broad,Philadelphia to Paris Sale,36.787499975,36.78749997500001,7.105427357601002e-15,11.806999668234454,434.35,434.3500000000001,5.684341886080802e-14
Yahoo - US,Advanced,International DC,268.54999922499997,268.549999225,5.684341886080802e-14,1.1805995193258785,317.05,317.05000000000007,5.684341886080802e-14
Google - US,Broad,Miami to France Sale,142.7874999375,142.78749993750003,2.842170943040401e-14,3.291954829419572,470.05,470.05000000000007,5.684341886080802e-14
MSN - Global,Broad,France,3230.36249735,3230.3624973500005,4.547473508864641e-13,0.12077591921032273,390.15,390.15000000000003,5.684341886080802e-14
Google - US,Broad,Business Class - Generic,2028.0124977499997,2028.0124977500002,4.547473508864641e-13,0.0712520263855953,144.5,144.50000000000006,5.684341886080802e-14
Google - US,Broad,Madrid,450.7999985625,450.79999856250015,1.7053025658242404e-13,0.20929458806757092,94.35,94.35000000000004,4.263256414560601e-14
Google - Global,Broad,Marseille,349.73749945000003,349.7374994500001,5.684341886080802e-14,0.47878766292814806,167.45,167.45000000000002,2.842170943040401e-14
Google - US,Broad,Europe,5631.9874906125,5631.987490612501,9.094947017729282e-13,0.017205293896961724,96.9,96.90000000000003,2.842170943040401e-14
Yahoo - US,Advanced,Airfrance Deal Boston,1.075,1.0750000000000002,2.220446049250313e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Bargain International Boston,0.7875,0.7875000000000002,2.220446049250313e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Airfrance Deal DC,0.25,0.25000000000000006,5.551115123125783e-17,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Business Class - Generic,825.7499991499999,825.7499991500001,2.2737367544323206e-13,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Turkey Branded,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Cheap Europe Cincinnati,2.0,2.0000000000000004,4.440892098500626e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,UK,10.8125,10.812500000000004,3.552713678800501e-15,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Cheap Europe Atlanta,15.387499975,15.387499975000006,5.329070518200751e-15,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Cheap Europe Boston,5.6125,5.612500000000001,8.881784197001252e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Venice,68.1124999875,68.11249998750002,1.4210854715202004e-14,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Cheap Europe DC,1.4625,1.4625000000000001,2.220446049250313e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Zurich,1.8875,1.8875000000000004,4.440892098500626e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Cheap Europe Detroit,4.95,4.950000000000002,1.7763568394002505e-15,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Cheap Europe Houston,2.4875,2.4875000000000007,8.881784197001252e-16,0.0,0.0,0.0,0.0
Yahoo - US,Standard,Bordeaux,8.7125,8.712500000000004,3.552713678800501e-15,0.0,0.0,0.0,0.0
MSN - US,Broad,Seattle to Paris Sale,2.675,2.6750000000000003,4.440892098500626e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Airfrance Deal Houston,1.0,1.0000000000000002,2.220446049250313e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Airfrance Deal Miami,0.3125,0.3125000000000001,1.1102230246251565e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Airfrance Deal Los Angeles,1.025,1.0250000000000001,2.220446049250313e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Boston to Milan Sale,1.8875,1.8875000000000004,4.440892098500626e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Atlanta to Venice Sale,0.1875,0.18750000000000006,5.551115123125783e-17,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Berlin,3.7625,3.7625000000000015,1.3322676295501878e-15,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Stuttgart,0.9125,0.9125000000000002,2.220446049250313e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Atlanta to Rome Sale,4.9125,4.912500000000001,1.7763568394002505e-15,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Atlanta to Naples Sale,0.9875,0.9875000000000004,3.3306690738754696e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Boston to Florence Sale,4.749999975000001,4.7499999750000015,8.881784197001252e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Atlanta to Madrid Sale,0.9875,0.9875000000000004,3.3306690738754696e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Atlanta to Italy Sale,1.7999999999999998,1.8000000000000003,4.440892098500626e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Atlanta to Greece Sale,0.6125,0.6125000000000003,2.220446049250313e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Atlanta to France Sale,2.7,2.700000000000001,8.881784197001252e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Atlanta to Florence Sale,1.4125,1.4125000000000005,4.440892098500626e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Bargain Europe Boston,1.5,1.5000000000000004,4.440892098500626e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Atlanta to Barcelona Sale,0.8375,0.8375000000000002,2.220446049250313e-16,0.0,0.0,0.0,0.0
MSN - US,Broad,Paris Branded,22.45,22.450000000000003,3.552713678800501e-15,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Airfrance Deal San Francisco,0.2375,0.23750000000000004,5.551115123125783e-17,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Turkey,479.67499953750007,479.6749995375002,1.1368683772161603e-13,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Airfrance Deal Philadelphia,0.2375,0.23750000000000004,5.551115123125783e-17,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Boston to Paris Sale,4.4875,4.487500000000001,8.881784197001252e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Boston to Pisa Sale,1.375,1.3750000000000004,4.440892098500626e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Boston to Venice Sale,1.125,1.1250000000000002,2.220446049250313e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Business Class - Branded,8.699999975,8.699999975000003,1.7763568394002505e-15,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Airfrance Deal New York,5.3875,5.387500000000002,1.7763568394002505e-15,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Athens,44.8124999,44.812499900000006,7.105427357601002e-15,0.0,0.0,0.0,0.0
Yahoo - US,Standard,Bordeaux Branded,0.3875,0.3875000000000001,1.1102230246251565e-16,0.0,0.0,0.0,0.0
MSN - US,Broad,Nice,172.6749996125,172.67499961250005,5.684341886080802e-14,0.0,0.0,0.0,0.0
Google - US,,Google|Milan,0.2375,0.23750000000000004,5.551115123125783e-17,0.0,0.0,0.0,0.0
Google - US,,Google|agadir,0.65,0.6500000000000002,2.220446049250313e-16,0.0,0.0,0.0,0.0
Yahoo - US,Standard,Nice Branded,0.125,0.12500000000000003,2.7755575615628914e-17,0.0,0.0,0.0,0.0
Google - US,,Google|Turkey,13.0499998625,13.049999862500004,3.552713678800501e-15,0.0,0.0,0.0,0.0
Google - US,,Google|Switzerland,0.325,0.3250000000000001,1.1102230246251565e-16,0.0,0.0,0.0,0.0
Yahoo - US,Standard,Paris Branded,11.137499899999998,11.137499900000002,3.552713678800501e-15,0.0,0.0,0.0,0.0
Google - US,,Google|Stuttgart,10.2,10.200000000000003,3.552713678800501e-15,0.0,0.0,0.0,0.0
Google - US,,Google|Spain,4.6999998,4.6999998000000005,8.881784197001252e-16,0.0,0.0,0.0,0.0
Yahoo - US,Standard,Rome,3.9124999875000004,3.9124999875000013,8.881784197001252e-16,0.0,0.0,0.0,0.0
Yahoo - US,Standard,Switzerland,0.9875,0.9875000000000004,3.3306690738754696e-16,0.0,0.0,0.0,0.0
Google - US,,Google|Rome,0.8749999875000001,0.8749999875000004,3.3306690738754696e-16,0.0,0.0,0.0,0.0
Google - US,,Google|Munich,0.8,0.8000000000000004,3.3306690738754696e-16,0.0,0.0,0.0,0.0
Google - US,,Google|Madrid,1.65,1.6500000000000001,2.220446049250313e-16,0.0,0.0,0.0,0.0
Google - US,,Google|cairo,7.6624999874999995,7.662499987500002,2.6645352591003757e-15,0.0,0.0,0.0,0.0
Yahoo - US,Standard,Turkey,16.1625,16.162500000000005,3.552713678800501e-15,0.0,0.0,0.0,0.0
Google - US,,Google|Italy,4.6874998625,4.687499862500001,8.881784197001252e-16,0.0,0.0,0.0,0.0
Google - US,,Google|Istanbul,6.8625,6.862500000000002,1.7763568394002505e-15,0.0,0.0,0.0,0.0
Google - US,,Google|International General,94.5374955,94.53749550000005,4.263256414560601e-14,0.0,0.0,0.0,0.0
Google - US,,Google|International Flights,3.7875,3.7875000000000014,1.3322676295501878e-15,0.0,0.0,0.0,0.0
Google - US,,Google|International Airfare,5.662499825,5.662499825000001,8.881784197001252e-16,0.0,0.0,0.0,0.0
Google - US,,Google|Hamburg,19.074999974999997,19.074999975,3.552713678800501e-15,0.0,0.0,0.0,0.0
Google - US,,Google|Greece,131.3374998375,131.33749983750002,2.842170943040401e-14,0.0,0.0,0.0,0.0
Google - US,,Google|Germany,0.575,0.5750000000000001,1.1102230246251565e-16,0.0,0.0,0.0,0.0
Google - US,,Google|Frankfurt,1.275,1.2750000000000004,4.440892098500626e-16,0.0,0.0,0.0,0.0
Google - US,,Google|Flights Relaunch,8.7874997,8.787499700000003,3.552713678800501e-15,0.0,0.0,0.0,0.0
Google - US,,Google|belgrade,13.6,13.600000000000003,3.552713678800501e-15,0.0,0.0,0.0,0.0
Google - US,,Google|casablanca,8.8624999875,8.862499987500001,1.7763568394002505e-15,0.0,0.0,0.0,0.0
MSN - US,Broad,Marseille,33.1875,33.18750000000001,7.105427357601002e-15,0.0,0.0,0.0,0.0
Yahoo - US,Standard,Frankfurt,2.1375,2.1375000000000006,4.440892098500626e-16,0.0,0.0,0.0,0.0
MSN - US,Broad,France Branded,6.6125,6.612500000000002,1.7763568394002505e-15,0.0,0.0,0.0,0.0
MSN - US,Broad,Business Class - Generic,128.89999987500002,128.89999987500005,2.842170943040401e-14,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Cheap Europe Miami,2.4375,2.437500000000001,8.881784197001252e-16,0.0,0.0,0.0,0.0
MSN - Global,Broad,Paris Branded,21.374999925,21.374999925000008,7.105427357601002e-15,0.0,0.0,0.0,0.0
Yahoo - US,Standard,England,18.375,18.375000000000004,3.552713678800501e-15,0.0,0.0,0.0,0.0
MSN - Global,Broad,Nice,83.9749997875,83.97499978750002,2.842170943040401e-14,0.0,0.0,0.0,0.0
Yahoo - US,Standard,France Branded,2.912499975,2.9124999750000007,8.881784197001252e-16,0.0,0.0,0.0,0.0
MSN - Global,Broad,Marseille,2.625,2.625000000000001,8.881784197001252e-16,0.0,0.0,0.0,0.0
MSN - Global,Broad,Lyon,11.1875,11.187500000000004,3.552713678800501e-15,0.0,0.0,0.0,0.0
MSN - Global,Broad,France Branded,0.775,0.7750000000000002,2.220446049250313e-16,0.0,0.0,0.0,0.0
MSN - Global,Broad,Bordeaux,8.7625,8.762500000000001,1.7763568394002505e-15,0.0,0.0,0.0,0.0
Yahoo - US,Standard,Germany,4.75,4.750000000000001,8.881784197001252e-16,0.0,0.0,0.0,0.0
Google - US,,Google|dubai,67.375,67.37500000000001,1.4210854715202004e-14,0.0,0.0,0.0,0.0
Yahoo - US,Standard,London,22.262499875000003,22.26249987500001,7.105427357601002e-15,0.0,0.0,0.0,0.0
Google - US,,Google|tel aviv,27.1375,27.137500000000006,7.105427357601002e-15,0.0,0.0,0.0,0.0
Yahoo - US,Standard,Lyon,13.175,13.175000000000006,5.329070518200751e-15,0.0,0.0,0.0,0.0
Yahoo - US,Standard,Marseille,38.3374998125,38.337499812500006,7.105427357601002e-15,0.0,0.0,0.0,0.0
Google - US,,Google|sofia,0.775,0.7750000000000002,2.220446049250313e-16,0.0,0.0,0.0,0.0
Google - US,,Google|prague,23.6625,23.662500000000012,1.0658141036401503e-14,0.0,0.0,0.0,0.0
Google - US,,Google|nairobi,5.3125,5.312500000000002,1.7763568394002505e-15,0.0,0.0,0.0,0.0
Google - US,,Google|moscow,9.1125,9.112500000000002,1.7763568394002505e-15,0.0,0.0,0.0,0.0
Google - US,,Google|marrakech,4.625,4.625000000000001,8.881784197001252e-16,0.0,0.0,0.0,0.0
Google - US,,Google|kiev,2.3375,2.3375000000000004,4.440892098500626e-16,0.0,0.0,0.0,0.0
Google - US,,Google|johannesburg,0.2375,0.23750000000000004,5.551115123125783e-17,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Cheap Europe Los Angeles,17.675,17.675000000000008,7.105427357601002e-15,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Cheap International Houston,197.4499999375,197.44999993750005,5.684341886080802e-14,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Cheap Europe New York,4.3,4.300000000000001,8.881784197001252e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,International Detroit,111.77499982500001,111.77499982500004,2.842170943040401e-14,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Los Angeles to Paris Sale,13.112499975,13.112499975000004,3.552713678800501e-15,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Los Angeles to Greece Sale,2.3375,2.3375000000000004,4.440892098500626e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Los Angeles to France Sale,13.2375,13.237500000000006,5.329070518200751e-15,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Los Angeles to Florence Sale,10.225,10.225000000000001,1.7763568394002505e-15,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Los Angeles to Barcelona Sale,10.975000000000001,10.975000000000005,3.552713678800501e-15,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Los Angeles to Athens Sale,6.637499999999999,6.637500000000001,1.7763568394002505e-15,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Italy,130.93749966250002,130.93749966250004,2.842170943040401e-14,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,International San Francisco,284.91249937500004,284.9124993750001,5.684341886080802e-14,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,International Philadelphia,247.3374996375,247.33749963750006,5.684341886080802e-14,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,International Miami,279.01249936249997,279.0124993625,5.684341886080802e-14,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,International Los Angeles,263.68749909999997,263.6874991,5.684341886080802e-14,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,International Houston,109.38749982499999,109.38749982500003,4.263256414560601e-14,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,San Francisco to Rome Sale,6.824999999999999,6.825000000000001,1.7763568394002505e-15,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Cheap Europe Philadelphia,3.3875,3.3875000000000015,1.3322676295501878e-15,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,International Cincinnati,24.1375,24.137500000000006,7.105427357601002e-15,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,San Francisco to Spain Sale,4.9625,4.962500000000002,1.7763568394002505e-15,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,International Boston,146.8999997875,146.89999978750004,2.842170943040401e-14,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Houston to Spain Sale,3.6125,3.6125000000000007,8.881784197001252e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Houston to Rome Sale,0.9875,0.9875000000000004,3.3306690738754696e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Houston to Paris Sale,0.775,0.7750000000000002,2.220446049250313e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Houston to Florence Sale,1.5375,1.5375000000000008,6.661338147750939e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Hanover,1.8375,1.8375000000000004,4.440892098500626e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Hamburg,6.225,6.2250000000000005,8.881784197001252e-16,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Greece,124.47499989999999,124.47499990000001,2.842170943040401e-14,0.0,0.0,0.0,0.0
Yahoo - US,Advanced,Germany,16.737499999999997,16.7375,3.552713678800501e-15,0.0,0.0,0.0,0.0
